Device: cuda
============ Train epoch 0 ============
 SVHN       | Train Loss: 0.1016 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0222 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0503 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0689 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1477 | Test  Acc: 0.9586
 SVHN       | Test  Loss: 0.9555 | Test  Acc: 0.6969
 USPS       | Test  Loss: 0.1309 | Test  Acc: 0.9661
 SynthDigits| Test  Loss: 0.5875 | Test  Acc: 0.8170
 MNIST-M    | Test  Loss: 0.7223 | Test  Acc: 0.7763
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0154 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1214 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0211 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0495 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0617 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1444 | Test  Acc: 0.9579
 SVHN       | Test  Loss: 1.0146 | Test  Acc: 0.6751
 USPS       | Test  Loss: 0.1278 | Test  Acc: 0.9629
 SynthDigits| Test  Loss: 0.5994 | Test  Acc: 0.8149
 MNIST-M    | Test  Loss: 0.7090 | Test  Acc: 0.7794
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0137 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0899 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0212 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0508 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0573 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1431 | Test  Acc: 0.9578
 SVHN       | Test  Loss: 0.9674 | Test  Acc: 0.6918
 USPS       | Test  Loss: 0.1288 | Test  Acc: 0.9634
 SynthDigits| Test  Loss: 0.6076 | Test  Acc: 0.8068
 MNIST-M    | Test  Loss: 0.7267 | Test  Acc: 0.7710
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0137 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0839 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0190 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0568 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0657 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1398 | Test  Acc: 0.9600
 SVHN       | Test  Loss: 0.9613 | Test  Acc: 0.6924
 USPS       | Test  Loss: 0.1377 | Test  Acc: 0.9645
 SynthDigits| Test  Loss: 0.6155 | Test  Acc: 0.8044
