Device: cuda
============ Train epoch 0 ============
 SVHN       | Test  Loss: 1.1751 | Test  Acc: 0.6108
 USPS       | Test  Loss: 0.1916 | Test  Acc: 0.9446
 SynthDigits| Test  Loss: 0.6453 | Test  Acc: 0.7951
 MNIST-M    | Test  Loss: 0.8203 | Test  Acc: 0.7306
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0290 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4491 | Train Acc: 0.9273
 USPS       | Train Loss: 0.0438 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0717 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.1013 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1546 | Test  Acc: 0.9564
 SVHN       | Test  Loss: 1.1072 | Test  Acc: 0.6410
 USPS       | Test  Loss: 0.1607 | Test  Acc: 0.9516
 SynthDigits| Test  Loss: 0.6149 | Test  Acc: 0.8034
 MNIST-M    | Test  Loss: 0.7842 | Test  Acc: 0.7463
============ Train epoch 27 ============
 MNIST      | Train Loss: 0.0246 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4661 | Train Acc: 0.9044
 USPS       | Train Loss: 0.0570 | Train Acc: 0.9838
 SynthDigits| Train Loss: 0.0715 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0713 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1549 | Test  Acc: 0.9550
 SVHN       | Test  Loss: 1.1409 | Test  Acc: 0.6283
 USPS       | Test  Loss: 0.1855 | Test  Acc: 0.9452
 SynthDigits| Test  Loss: 0.6310 | Test  Acc: 0.7982
 MNIST-M    | Test  Loss: 0.7628 | Test  Acc: 0.7514
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0255 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4547 | Train Acc: 0.9017
 USPS       | Train Loss: 0.0388 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0677 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0746 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1524 | Test  Acc: 0.9569
 SVHN       | Test  Loss: 1.1444 | Test  Acc: 0.6225
 USPS       | Test  Loss: 0.1558 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6281 | Test  Acc: 0.8007
 MNIST-M    | Test  Loss: 0.7500 | Test  Acc: 0.7618
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0220 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4923 | Train Acc: 0.8869
 USPS       | Train Loss: 0.0389 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0593 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0710 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1510 | Test  Acc: 0.9545
 SVHN       | Test  Loss: 1.1823 | Test  Acc: 0.6091
 USPS       | Test  Loss: 0.1588 | Test  Acc: 0.9527
 SynthDigits| Test  Loss: 0.6155 | Test  Acc: 0.8036
 MNIST-M    | Test  Loss: 0.7639 | Test  Acc: 0.7519
